Deficit,SNOMEDCT_CONCEPTID,CTV3,Provenance,Codedescription,TimeConstraintyears,AgeLimit,Otherinstructions,new_descriptions
Abdominal pain,162031009,195..,efi-abdominal_pain,Indigestion symptoms,5,,,Indigestion
Abdominal pain,16331000,1955,efi-abdominal_pain,Heartburn,5,,,Heartburn
Abdominal pain,247358007,196..,efi-abdominal_pain,Type of GIT pain (& [abdominal pain] or [symptom]),5,,,Abdominal pain type
Abdominal pain,270477000,196..,efi-abdominal_pain,Type of GIT pain (& [abdominal pain] or [symptom]),5,,,Type of gastrointestinal tract pain
Abdominal pain,162038003,1963,efi-abdominal_pain,Non-colicky abdominal pain,5,,,Non-colicky abdominal pain
Abdominal pain,162039006,1964,efi-abdominal_pain,Shoulder pain from abdomen,5,,,Shoulder pain from abdomen
Abdominal pain,43364001,1968,efi-abdominal_pain,Abdominal discomfort,5,,,Abdominal discomfort
Abdominal pain,21522001,1969,efi-abdominal_pain,Abdominal pain,5,,,Abdominal pain
Abdominal pain,162042000,19690,efi-abdominal_pain,Abdominal wall pain,5,,,Abdominal wall pain
Abdominal pain,247353003,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,,Site of abdominal pain
Abdominal pain,247355005,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,,Flank pain
Abdominal pain,247354009,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,,Iliac fossa pain
Abdominal pain,267050002,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,,Site of GIT pain
Abdominal pain,247352008,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,,Subcostal pain
Abdominal pain,162046002,1971,efi-abdominal_pain,Central abdominal pain,5,,,Central abdominal pain
Abdominal pain,79922009,1972,efi-abdominal_pain,Epigastric pain,5,,,Epigastric pain
Abdominal pain,162051008,1977,efi-abdominal_pain,Right iliac fossa pain,5,,,Right iliac fossa pain
Abdominal pain,162052001,1978,efi-abdominal_pain,Left iliac fossa pain,5,,,Pain in left iliac fossa
Abdominal pain,162053006,1979,efi-abdominal_pain,Suprapubic pain,5,,,Suprapubic pain
Abdominal pain,102614006,197A.,efi-abdominal_pain,Generalised abdominal pain,5,,,Generalized abdominal pain
Abdominal pain,83132003,197B.,efi-abdominal_pain,Upper abdominal pain,5,,,Upper abdominal pain
Abdominal pain,54586004,197C.,efi-abdominal_pain,Lower abdominal pain,5,,,Lower abdominal pain
Abdominal pain,268941000,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,,O/E - abdomen tender
Abdominal pain,163218001,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,,O/E - abd. pain - umbilical
Abdominal pain,308903002,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,,O/E - epigastric pain on palp.
Abdominal pain,275315004,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,,O/E - iliac pain on palpation
Abdominal pain,275316003,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,,O/E - lumbar pain on palpation
Abdominal pain,163214004,25C2.,efi-abdominal_pain,O/E - abd.pain-R.hypochondrium,5,,,O/E - abd.pain-R.hypochondrium
Abdominal pain,163215003,25C3.,efi-abdominal_pain,O/E - abd. pain - epigastrium,5,,,O/E - abd. pain - epigastrium
Abdominal pain,163216002,25C4.,efi-abdominal_pain,O/E - abd.pain-L.hypochondrium,5,,,O/E - abd.pain-L.hypochondrium
Abdominal pain,163217006,25C5.,efi-abdominal_pain,O/E - abd. pain - R.lumbar,5,,,O/E - abd. pain - R.lumbar
Abdominal pain,163219009,25C7.,efi-abdominal_pain,O/E - abd. pain - L.lumbar,5,,,O/E - abd. pain - L.lumbar
Abdominal pain,163220003,25C8.,efi-abdominal_pain,O/E - abd. pain - R.iliac,5,,,O/E - abd. pain - R.iliac
Abdominal pain,163221004,25C9.,efi-abdominal_pain,O/E - abd. pain - hypogastrium,5,,,O/E - abd. pain - hypogastrium
Abdominal pain,163222006,25CA.,efi-abdominal_pain,O/E - abd. pain - L.iliac,5,,,O/E - abd. pain - L.iliac
Abdominal pain,235595009,J1011,efi-abdominal_pain,Acid reflux &/or oesophagitis,5,,,Gastroesophageal reflux disease
Abdominal pain,266433003,J1011,efi-abdominal_pain,Acid reflux &/or oesophagitis,5,,,Reflux esophagitis
Abdominal pain,57643001,J1011,efi-abdominal_pain,Acid reflux &/or oesophagitis,5,,,Peptic reflux disease
Abdominal pain,249511005,J16y4,efi-abdominal_pain,Dyspepsia (& [flatulent] or [NOS]),5,,,Flatulent dyspepsia
Abdominal pain,9991008,R0901,efi-abdominal_pain,[D]Abdominal colic,5,,,Abdominal colic
Abdominal pain,88522004,R0906,efi-abdominal_pain,[D]Umbilical pain,5,,,Umbilical pain
Abdominal pain,271853005,R0907,efi-abdominal_pain,[D]Hypochondrial pain,5,,,Hypochondrial pain
Abdominal pain,4.78711E+14,Ryu11,efi-abdominal_pain,[X]Other and unspecified abdominal pain,5,,,[X]Symptoms and signs involving the digestive system and abdomen (finding)
Abdominal pain,235841007,X3062,efi-abdominal_pain,Chronic nonspecific abdominal pain,5,,,Chronic nonspecific abdominal pain
Abdominal pain,274289007,XE1jA,efi-abdominal_pain,O/E pain: [abdom (& on palpat)][epigast][iliac][lumb][umbil],5,,,O/E - iliac pain - abd.
Abdominal pain,274287009,XE1jA,efi-abdominal_pain,O/E pain: [abdom (& on palpat)][epigast][iliac][lumb][umbil],5,,,O/E - abdominal pain
Abdominal pain,274288004,XE1jA,efi-abdominal_pain,O/E pain: [abdom (& on palpat)][epigast][iliac][lumb][umbil],5,,,O/E - epigastric pain
Abdominal pain,274290003,XE1jA,efi-abdominal_pain,O/E pain: [abdom (& on palpat)][epigast][iliac][lumb][umbil],5,,,O/E - lumbar pain abd.
Abdominal pain,274292006,XE1jE,efi-abdominal_pain,O/E - left iliac: [abdominal pain] or [tender],5,,,O/E left iliac fossa tender
Abdominal pain,274277005,XE2cT,efi-abdominal_pain,Right iliac fossa pain (& C/O),5,,,C/O right iliac fossa pain
Abdominal pain,274278000,XE2cV,efi-abdominal_pain,Left iliac fossa pain (& C/O),5,,,C/O left iliac fossa pain
Abdominal pain,271858001,XM093,efi-abdominal_pain,Recurrent acute abdominal pain,5,,,Recurrent acute abdominal pain
Abdominal pain,285387005,Xa35t,efi-abdominal_pain,Left sided abdominal pain,5,,,Left sided abdominal pain
Abdominal pain,285388000,Xa35u,efi-abdominal_pain,Right sided abdominal pain,5,,,Right sided abdominal pain
Abdominal pain,301367001,Xa7wu,efi-abdominal_pain,Right hypochondrial pain,5,,,Right hypochondrial pain
Abdominal pain,301368006,Xa7wv,efi-abdominal_pain,Left hypochondrial pain,5,,,Left hypochondrial pain
Abdominal pain,301715003,Xa83q,efi-abdominal_pain,Left upper quadrant pain,5,,,Left upper quadrant pain
Abdominal pain,301716002,Xa83r,efi-abdominal_pain,Left lower quadrant pain,5,,,Left lower quadrant pain
Abdominal pain,301717006,Xa83s,efi-abdominal_pain,Right upper quadrant pain,5,,,Right upper quadrant pain
Abdominal pain,301754002,Xa84T,efi-abdominal_pain,Right lower quadrant pain,5,,,Right lower quadrant pain
Abdominal pain,102570003,Xa84t,efi-abdominal_pain,Inguinal pain,5,,,Inguinodynia
Abdominal pain,304542004,XaA06,efi-abdominal_pain,Nonspecific abdominal pain,5,,,Nonspecific abdominal pain
Abdominal pain,314212008,XaEiJ,efi-abdominal_pain,Abdominal pain - cause unknown,5,,,Abdominal pain - cause unknown
Activity limitation,160983005,13O5.,efi-activity,Attendance allowance,,,,AA - Attendance allowance
Activity limitation,161041005,13V8.,efi-activity,Has disabled driver badge,,,,Has orange disabled driver badge
Activity limitation,21134002,13VC.,efi-activity,Disability,,,,Disability
Activity limitation,5.14591E+14,9EB5.,efi-activity,DS 1500 Disability living allowance completed,,,,Completion of DS1500 terminal illness medical report
Activity limitation,300757004,Xa7hb,,Unable to engage in a hobby,,,,Unable to engage in a hobby
Activity limitation,300760006,Xa7he,,Difficulty engaging in a hobby,,,,Difficulty engaging in a hobby
Activity limitation,725594005,,,Barthel index of Activities of Daily Living score,,,Any score of 0-18 or 21-90,Barthel index
Activity limitation,4.93431E+14,,,Barthel United Kingdom index of activities of daily living (assessment scale),,,Any score of 0-18 or 21-90,Barthel United Kingdom index of activities of daily living
Activity limitation,443653008,,,Modified Barthel index of activities of daily living score,,,Any score of 0-18 or 21-90,Modified Barthel index of activities of daily living (assessment scale)
Activity limitation,300751003,Xa7hV,,Unable to carry out garden act,,,,Unable to carry out gardening activities
Activity limitation,300754006,Xa7hY,,Diff carrying out garden acts,,,,Difficulty carrying out gardening activities
Activity limitation,285869003,Xa3Jy,,Unable to use washing machine,,,,Unable to use washing machine
Activity limitation,285872005,Xa3K1,,Diff using washing machine,,,,Difficulty using washing machine
Activity limitation,286049003,Xa3Mq,,Unable to wash laundry,,,,Unable to wash laundry
Activity limitation,286052006,Xa3Mt,,Difficulty washing laundry,,,,Difficulty washing laundry
Activity limitation,286090000,Xa3NU,,Difficulty doing washing-up,,,,Difficulty doing washing-up
Activity limitation,286093003,Xa3NX,,Unab dispose household rubbish,,,,Unable to dispose of household rubbish
Activity limitation,286097002,Xa3Na,,Diff dispos household rubbish,,,,Difficulty disposing of household rubbish
Activity limitation,286100007,Xa3Nd,,Unable to clean room,,,,Unable to clean room
Activity limitation,286103009,Xa3Ng,,Difficulty cleaning room,,,,Difficulty cleaning room
Activity limitation,286106001,Xa3Nj,,Unable to do polishing,,,,Unable to do polishing
Activity limitation,286109008,Xa3Nm,,Difficulty doing polishing,,,,Difficulty doing polishing
Activity limitation,286112006,Xa3Np,,Unable to do dusting,,,,Unable to do dusting
Activity limitation,286115008,Xa3Ns,,Difficulty doing dusting,,,,Difficulty doing dusting
Activity limitation,286118005,Xa3Nv,,Unable to clean floor,,,,Unable to clean floor
Activity limitation,286121007,Xa3Ny,,Difficulty cleaning floor,,,,Difficulty cleaning floor
Activity limitation,286124004,Xa3O1,,Unable to clean windows,,,,Unable to clean windows
Activity limitation,286127006,Xa3O4,,Difficulty cleaning windows,,,,Difficulty cleaning windows
Activity limitation,286130004,Xa3O7,,Unab clean food prepara area,,,,Unable to clean food preparation area
Activity limitation,286133002,Xa3OA,,Diff cleaning food prepar area,,,,Difficulty cleaning food preparation area
Activity limitation,286142009,Xa3OJ,,Unable to clean cooker,,,,Unable to clean cooker
Activity limitation,286145006,Xa3OM,,Difficulty cleaning cooker,,,,Difficulty cleaning cooker
Activity limitation,286149000,Xa3OQ,,Unable to clean bath,,,,Unable to clean bath
Activity limitation,286152008,Xa3OT,,Difficulty cleaning bath,,,,Difficulty cleaning bath
Activity limitation,286155005,Xa3OW,,Unable to clean shower,,,,Unable to clean shower
Activity limitation,286158007,Xa3OZ,,Difficulty cleaning shower,,,,Difficulty cleaning shower
Activity limitation,286161008,Xa3Oc,,Unable to clean sink,,,,Unable to clean sink
Activity limitation,286164000,Xa3Of,,Difficulty cleaning sink,,,,Difficulty cleaning washbasin
Activity limitation,286167007,Xa3Oi,,Unable to clean toilet,,,,Unable to clean toilet
Activity limitation,286170006,Xa3Ol,,Difficulty cleaning toilet,,,,Difficulty cleaning toilet
Activity limitation,424533000,XaX8j,,Difficulty perform laundry act,,,,Difficulty performing laundry activities (finding)
Activity limitation,300726004,Xa7h7,,Unab carry out telephone activ,,,,Unable to carry out telephone activities
Activity limitation,300729006,Xa7hA,,Diff carrying telephone activ,,,,Difficulty performing telephone activities
Activity limitation,300733004,Xa7hD,,Unable to use telephone,,,,Unable to use telephone
Activity limitation,300736007,Xa7hG,,Difficulty using telephone,,,,Difficulty using telephone
Activity limitation,300622009,Xa7fT,,Unable to use public transport,,,,Unable to use public transport
Activity limitation,300625006,Xa7fW,,Diff using public transport,,,,Difficulty using public transport
Activity limitation,300632002,Xa7fc,,Diff using private transport,,,,Difficulty using private transport
Activity limitation,300635000,Xa7ff,,Unable to drive a car,,,,Unable to drive a car
Activity limitation,300638003,Xa7fi,,Difficulty driving a car,,,,Difficulty driving a car
Activity limitation,300662008,Xa7g6,,Diff perf act invol usng trans,,,,Difficulty performing activities involved in using transport
Alcohol,105542008,,ucl-alcohol,Teetotaller,5,,Zero alcohol,Non-drinker of alcoholic beverage
Alcohol,28127009,,ucl-alcohol,Social drinker,5,,Lower risk drinking,Alcoholic beverage mild drinker
Alcohol,228277002,,ucl-alcohol,Light drinker,5,,Lower risk drinking,Light drinker
Alcohol,228276006,,ucl-alcohol,Trivial drinker - <1u/day,5,,Lower risk drinking,Occasional drinker
Alcohol,266917007,,ucl-alcohol,Trivial drinker - <1u/day,5,,Lower risk drinking,Trivial drinker - <1u/day
Alcohol,160575005,,ucl-alcohol,Light drinker - 1-2u/day,5,,Lower risk drinking,Light drinker - 1-2u/day
Alcohol,160593006,,ucl-alcohol,Alcohol intake within recommended sensible limits,5,,Lower risk drinking,Alcohol intake within recommended sensible limits
Alcohol,160576006,,ucl-alcohol,Moderate drinker - 3-6u/day,5,,Higher risk drinking,Moderate drinker - 3-6u/day
Alcohol,43783005,,ucl-alcohol,Moderate drinker,5,,Higher risk drinking,Alcoholic beverage moderate drinker
Alcohol,160577002,,ucl-alcohol,Heavy drinker - 7-9u/day,5,,Harmful drinking,Heavy drinker - 7-9u/day
Alcohol,160578007,,ucl-alcohol,Very heavy drinker - >9u/day,5,,Harmful drinking,Very heavy drinker - greater than 9 units/day
Alcohol,86933000,,ucl-alcohol,Heavy drinker,5,,Harmful drinking,Alcoholic beverage heavy drinker
Alcohol,228279004,,ucl-alcohol,Very heavy drinker,5,,Harmful drinking,Very heavy drinker
Alcohol,228315001,,ucl-alcohol,Binge drinker,5,,Harmful drinking,Binge drinker
Alcohol,15167005,,ucl-alcohol,Alcohol misuse,5,,Harmful drinking,Alcohol abuse
Alcohol,720175009,,ucl-alcohol,Alcohol harm reduction programme,5,,Harmful drinking,Alcohol harm reduction program (regime/therapy)
Alcohol,720178006,,ucl-alcohol,Alcohol twelve step programme,5,,Harmful drinking,Alcohol twelve step program (regime/therapy)
Alcohol,3.75941E+14,,ucl-alcohol,Advised to contact primary care alcohol worker,5,,Harmful drinking,Advised to contact primary care alcohol worker (situation)
Alcohol,9.46101E+14,,ucl-alcohol,Specialist alcohol treatment service signposted,5,,Harmful drinking,Specialist alcohol treatment service signposted (situation)
Alcohol,431260004,,ucl-alcohol,Referral to specialist alcohol treatment service,5,,Harmful drinking,Referral to specialist alcohol treatment service (procedure)
Alcohol,3.76401E+14,,ucl-alcohol,Referral to alcohol brief intervention service,5,,Harmful drinking,Referral to alcohol brief intervention service (procedure)
Alcohol,3.79411E+14,,ucl-alcohol,Brief intervention for excessive alcohol consumptn declined,5,,Harmful drinking,Brief intervention for excessive alcohol consumption declined (situation)
Alcohol,3.80861E+14,,ucl-alcohol,Declined referral to specialist alcohol treatment service,5,,Harmful drinking,Declined referral to specialist alcohol treatment service (situation)
Alcohol,7.54831E+14,,ucl-alcohol,Extended interven for excessive alcohol consumption declined,5,,Harmful drinking,Extended intervention for excessive alcohol consumption declined (situation)
Alcohol,7.81191E+14,,ucl-alcohol,Referral to community alcohol team declined,5,,Harmful drinking,Referral to community alcohol team declined (situation)
Alcohol,9.33641E+14,,ucl-alcohol,Refer to MH services deferred until alcohol misuse resolved,5,,Harmful drinking,Referral to mental health services deferred until alcohol misuse resolved (finding)
Alcohol,9.21441E+14,,ucl-alcohol,Hospital alcohol liaison team report received,5,,Harmful drinking,Hospital alcohol liaison team report received (finding)
Alcohol,8.92631E+14,,ucl-alcohol,In-house alcohol detoxification,5,,Harmful drinking,In-house alcohol detoxification (procedure)
Alcohol,9.63281E+14,,ucl-alcohol,Hospital attendance related to personal alcohol consumption,5,,Harmful drinking,Hospital attendance related to personal alcohol consumption (finding)
Alcohol,235942001,,ucl-alcohol,Alcohol-induced acute pancreatitis,5,,Harmful drinking,Alcohol-induced acute pancreatitis
Alcohol,160592001,,ucl-alcohol,Alcohol intake above recommended sensible limits,5,,Harmful drinking,Alcohol intake above recommended sensible limits
Alcohol,1.98421E+14,,ucl-alcohol,Hazardous alcohol use,5,,Harmful drinking,Hazardous alcohol use (observable entity)
Alcohol,1.98431E+14,,ucl-alcohol,Harmful alcohol use,5,,Harmful drinking,Harmful alcohol use (observable entity)
Alcohol,2.79651E+14,,ucl-alcohol,Disqualified from driving due to excess alcohol,5,,Harmful drinking,Disqualified from driving due to excess alcohol (finding)
Alcohol,417633001,,ucl-alcohol,Alcohol induced hallucinations,5,,Harmful drinking,Alcohol induced hallucinations (finding)
Alcohol,413130000,,ucl-alcohol,Alcohol disorder monitoring,5,,Harmful drinking,Alcohol disorder monitoring (regime/therapy)
Alcohol,2.47721E+14,,ucl-alcohol,Alcohol abuse monitoring,5,,Harmful drinking,Alcohol abuse monitoring (regime/therapy)
Alcohol,2.31161E+14,,ucl-alcohol,Delivery of rehabilitation for alcohol addiction,5,,Harmful drinking,Delivery of rehabilitation for alcohol addiction (regime/therapy)
Alcohol,64297001,,ucl-alcohol,Alcohol detoxification,5,,Harmful drinking,Detoxication therapy for alcoholism
Alcohol,183098002,,ucl-alcohol,Alcohol leaflet given,5,,Harmful drinking,Alcohol leaflet given
Alcohol,183388004,,ucl-alcohol,Aversion therapy - alcoholism,5,,Harmful drinking,Aversion therapy - alcoholism
Alcohol,183486001,,ucl-alcohol,Admitted to alcohol detoxification centre,5,,Harmful drinking,Admitted to alcohol detoxification center
Alcohol,390857005,,ucl-alcohol,Referral to community alcohol team,5,,Harmful drinking,Referral to community alcohol team (procedure)
Alcohol,417096006,,ucl-alcohol,Referral to community drug and alcohol team,5,,Harmful drinking,Referral to community drug and alcohol team (procedure)
Alcohol,135827004,,ucl-alcohol,Under care of community alcohol team,5,,Harmful drinking,Under care of community alcohol team
Alcohol,1.66251E+14,,ucl-alcohol,Alcohol misuse - enhanced services administration,5,,Harmful drinking,Alcohol misuse - enhanced services administration
Alcohol,1.66471E+14,,ucl-alcohol,Alcohol misuse - enhanced service completed,5,,Harmful drinking,Alcohol misuse - enhanced service completed
Alcohol,237738005,,ucl-alcohol,Alcohol-induced pseudo-Cushing's syndrome,5,,Harmful drinking,Alcohol-induced pseudo-Cushing's syndrome
Alcohol,42344001,,ucl-alcohol,Alcoholic psychoses,5,,Harmful drinking,Alcohol-induced psychosis
Alcohol,8635005,,ucl-alcohol,Alcohol withdrawal delirium,5,,Harmful drinking,Alcohol withdrawal delirium
Alcohol,69482004,,ucl-alcohol,Alcohol amnestic syndrome,5,,Harmful drinking,Korsakoff's psychosis
Alcohol,191471000,,ucl-alcohol,Korsakov's alcoholic psychosis with peripheral neuritis,5,,Harmful drinking,Korsakov's alcoholic psychosis with peripheral neuritis
Alcohol,73097000,,ucl-alcohol,Alcohol amnestic syndrome NOS,5,,Harmful drinking,Alcohol amnestic disorder
Alcohol,281004,,ucl-alcohol,Other alcoholic dementia,5,,Harmful drinking,Dementia associated with alcoholism
Alcohol,191475009,,ucl-alcohol,Chronic alcoholic brain syndrome,5,,Harmful drinking,Chronic alcoholic brain syndrome
Alcohol,191476005,,ucl-alcohol,Alcohol withdrawal hallucinosis,5,,Harmful drinking,Alcohol withdrawal hallucinosis
Alcohol,191477001,,ucl-alcohol,Pathological alcohol intoxication,5,,Harmful drinking,Drunkenness - pathological
Alcohol,191478006,,ucl-alcohol,Alcoholic paranoia,5,,Harmful drinking,Alcoholic paranoia
Alcohol,191480000,,ucl-alcohol,Alcohol withdrawal syndrome,5,,Harmful drinking,Alcohol withdrawal syndrome
Alcohol,7200002,,ucl-alcohol,Alcohol dependence syndrome,5,,Harmful drinking,Alcoholism
Alcohol,66590003,,ucl-alcohol,Alcohol dependence syndrome,5,,Harmful drinking,Alcohol dependence
Alcohol,191802004,,ucl-alcohol,Acute alcoholic intoxication in alcoholism,5,,Harmful drinking,Alcohol dependence with acute alcoholic intoxication
Alcohol,191804003,,ucl-alcohol,Continuous acute alcoholic intoxication in alcoholism,5,,Harmful drinking,Continuous acute alcoholic intoxication in alcoholism
Alcohol,191805002,,ucl-alcohol,Episodic acute alcoholic intoxication in alcoholism,5,,Harmful drinking,Episodic acute alcoholic intoxication in alcoholism
Alcohol,191811004,,ucl-alcohol,Continuous chronic alcoholism,5,,Harmful drinking,Continuous chronic alcoholism
Alcohol,191812006,,ucl-alcohol,Episodic chronic alcoholism,5,,Harmful drinking,Episodic chronic alcoholism
Alcohol,32553006,,ucl-alcohol,Nondependent alcohol abuse,5,,Harmful drinking,Hangover
Alcohol,25702006,,ucl-alcohol,Nondependent alcohol abuse,5,,Harmful drinking,Alcohol intoxication
Alcohol,268645007,,ucl-alcohol,Nondependent alcohol abuse,5,,Harmful drinking,Nondependent alcohol abuse
Alcohol,191882002,,ucl-alcohol,"Nondependent alcohol abuse, continuous",5,,Harmful drinking,"Nondependent alcohol abuse, continuous"
Alcohol,191883007,,ucl-alcohol,"Nondependent alcohol abuse, episodic",5,,Harmful drinking,"Nondependent alcohol abuse, episodic"
Alcohol,91388009,,ucl-alcohol,[X]Mental and behav dis due to use of alcohol: harmful use,5,,Harmful drinking,Psychoactive substance abuse
Alcohol,7052005,,ucl-alcohol,[X]Mental & behav dis due to use alcohol: psychotic disorder,5,,Harmful drinking,Alcohol hallucinosis
Alcohol,308742005,,ucl-alcohol,[X]Alcohol withdrawal-induced seizure,5,,Harmful drinking,Alcohol withdrawal-induced seizure
Alcohol,29212009,,ucl-alcohol,[X]Men & behav dis due to use alcohol: oth men & behav dis,5,,Harmful drinking,Alcohol-induced organic mental disorder
Alcohol,192811002,,ucl-alcohol,Cerebral degeneration due to alcoholism,5,,Harmful drinking,Alcoholic encephalopathy
Alcohol,361273006,,ucl-alcohol,Cerebellar ataxia due to alcoholism,5,,Harmful drinking,Alcoholic cerebellar degeneration
Alcohol,361272001,,ucl-alcohol,Cerebellar ataxia due to alcoholism,5,,Harmful drinking,Cerebellar ataxia due to alcoholism
Alcohol,361268000,,ucl-alcohol,Alcohol-induced epilepsy,5,,Harmful drinking,Alcohol-induced epilepsy
Alcohol,7916009,,ucl-alcohol,Alcoholic polyneuropathy,5,,Harmful drinking,Alcoholic polyneuropathy
Alcohol,19303008,,ucl-alcohol,Alcoholic myopathy,5,,Harmful drinking,Alcohol myopathy
Alcohol,83521008,,ucl-alcohol,Alcoholic cardiomyopathy,5,,Harmful drinking,Dilated cardiomyopathy secondary to alcohol
Alcohol,309783001,,ucl-alcohol,Oesophageal varices in alcoholic cirrhosis of the liver,5,,Harmful drinking,Oesophageal varices in alcoholic cirrhosis of the liver
Alcohol,2043009,,ucl-alcohol,Alcoholic gastritis,5,,Harmful drinking,Alcoholic gastritis
Alcohol,50325005,,ucl-alcohol,Alcoholic fatty liver,5,,Harmful drinking,Alcoholic fatty liver
Alcohol,9953008,,ucl-alcohol,Acute alcoholic hepatitis,5,,Harmful drinking,Acute alcoholic liver disease
Alcohol,420054005,,ucl-alcohol,Alcoholic cirrhosis of liver,5,,Harmful drinking,Alcoholic cirrhosis (disorder)
Alcohol,419728003,,ucl-alcohol,Alcoholic cirrhosis of liver,5,,Harmful drinking,Portal cirrhosis (disorder)
Alcohol,76301009,,ucl-alcohol,Alcoholic cirrhosis of liver,5,,Harmful drinking,Florid cirrhosis
Alcohol,235880004,,ucl-alcohol,Alcoholic fibrosis and sclerosis of liver,5,,Harmful drinking,Alcoholic fibrosis and sclerosis of liver
Alcohol,41309000,,ucl-alcohol,Alcoholic liver damage unspecified,5,,Harmful drinking,Alcoholic liver damage
Alcohol,235881000,,ucl-alcohol,Alcoholic hepatic failure,5,,Harmful drinking,Alcoholic hepatic failure
Alcohol,235875008,,ucl-alcohol,Alcoholic hepatitis,5,,Harmful drinking,Alcoholic hepatitis
Alcohol,307757001,,ucl-alcohol,Chronic alcoholic hepatitis,5,,Harmful drinking,Chronic alcoholic hepatitis
Alcohol,235952002,,ucl-alcohol,Alcohol-induced chronic pancreatitis,5,,Harmful drinking,Alcohol-induced chronic pancreatitis
Alcohol,4.63651E+14,,ucl-alcohol,[V]Problems related to lifestyle alcohol use,5,,Harmful drinking,[V]Personal history of alcoholism (situation)
Alcohol,4.71691E+14,,ucl-alcohol,[V]Alcohol rehabilitation,5,,Harmful drinking,[V]Alcohol rehabilitation (situation)
Alcohol,35637008,,ucl-alcohol,[V]Alcohol rehabilitation,5,,Harmful drinking,Alcohol rehabilitation
Alcohol,24165007,,ucl-alcohol,[V]Alcohol abuse counselling and surveillance,5,,Harmful drinking,Alcoholism counseling
Alcohol,704106009,,ucl-alcohol,Advised to abstain from alcohol consumption,5,,Harmful drinking,Advised to abstain from alcohol consumption
Alcohol,413473000,,ucl-alcohol,Alcohol consumption counselling,5,,Harmful drinking,Alcohol consumption counselling (regime/therapy)
Alcohol,5.27961E+14,,ucl-alcohol,Alcohol counselling by other agencies,5,,Harmful drinking,Alcohol counselling by other agencies
Alcohol,7200002,E23..00,mar-alcohol,Alcohol dependence syndrome,5,,Harmful drinking,Alcoholism
Alcohol,66590003,E23..00,mar-alcohol,Alcohol dependence syndrome,5,,Harmful drinking,Alcohol dependence
Alcohol,191802004,E230.11,mar-alcohol,Alcohol dependence with acute alcoholic intoxication,5,,Harmful drinking,Alcohol dependence with acute alcoholic intoxication
Alcohol,32553006,E250.00,mar-alcohol,Nondependent alcohol abuse,5,,Harmful drinking,Hangover
Alcohol,25702006,E250.00,mar-alcohol,Nondependent alcohol abuse,5,,Harmful drinking,Alcohol intoxication
Alcohol,268645007,E250.00,mar-alcohol,Nondependent alcohol abuse,5,,Harmful drinking,Nondependent alcohol abuse
Alcohol,191882002,E250100,mar-alcohol,"Nondependent alcohol abuse, continuous",5,,Harmful drinking,"Nondependent alcohol abuse, continuous"
Alcohol,191883007,E250200,mar-alcohol,"Nondependent alcohol abuse, episodic",5,,Harmful drinking,"Nondependent alcohol abuse, episodic"
Alcohol,3.66371E+14,,ucl-alcohol,Brief intervention for excessive alcohol consumptn completed,5,,Harmful drinking,Brief intervention for excessive alcohol consumption completed (situation)
Alcohol,3.66421E+14,,ucl-alcohol,Extended intervention for excessive alcohol consumptn complt,5,,Harmful drinking,Extended intervention for excessive alcohol consumption completed (situation)
Alcohol,160584005,,ucl-alcohol,Ex-moderate drinker - (3-6u/d),5,,Previous higher risk/harmful drinking,Ex-moderate drinker - (3-6u/d)
Alcohol,160585006,,ucl-alcohol,Ex-heavy drinker - (7-9u/day),5,,Previous higher risk/harmful drinking,Ex-heavy drinker - (7-9u/day)
Alcohol,160587003,,ucl-alcohol,Ex-very heavy drinker-(>9u/d),5,,Previous higher risk/harmful drinking,Ex-very heavy drinker-(>9u/d)
Alcohol,191813001,,ucl-alcohol,Chronic alcoholism in remission,5,,Previous higher risk/harmful drinking,Chronic alcoholism in remission
Alcohol,191884001,,ucl-alcohol,Nondependent alcohol abuse in remission,5,,Previous higher risk/harmful drinking,Nondependent alcohol abuse in remission
Alcohol,161466001,,ucl-alcohol,H/O: alcoholism,5,,Previous higher risk/harmful drinking,H/O: alcoholism
Alcohol,9.18321E+14,,ucl-alcohol,Alcohol dependence resolved,5,,Previous higher risk/harmful drinking,Alcohol dependence resolved (finding)
Alcohol,9.68891E+14,,ucl-alcohol,Alcohol relapse prevention,5,,Previous higher risk/harmful drinking,Alcohol relapse prevention (procedure)
